"","X","ID_ENTIDAD","ENTIDAD","VOTOS","OPCION_1","OPCION_2","OPCION_3","LISTA_NOMNAL","Participación"
"1",1,0,"VOTO EN EL EXTRANJERO",8287,1915,6324,48,17809,46.5326520298725
"2",2,1,"AGUASCALIENTES",96142,10447,84731,964,1035624,9.2834851258758
"3",3,2,"BAJA CALIFORNIA",384918,24394,356268,4256,2910262,13.2262318650348
"4",4,3,"BAJA CALIFORNIA SUR",88102,4918,82090,1094,559295,15.7523310596376
"5",5,4,"CAMPECHE",184011,6373,174865,2773,661439,27.8197989534938
"6",6,5,"COAHUILA",354970,15741,335192,4037,2249789,15.777924063101
"7",7,6,"COLIMA",86563,3953,81407,1203,552480,15.668078482479
"8",8,7,"CHIAPAS",1215057,42479,1146335,26243,3595049,33.7980650611438
"9",9,8,"CHIHUAHUA",340497,25799,308377,6321,2874454,11.845623551464
"10",10,9,"CIUDAD DE MÉXICO",1502531,155591,1325503,21437,7610714,19.7423132704763
"11",11,10,"DURANGO",144983,9849,133250,1884,1338813,10.8292196146885
"12",12,11,"GUANAJUATO",431052,40467,382128,8457,4545520,9.4830074446928
"13",13,12,"GUERRERO",622872,16858,595028,10986,2551464,24.4123373874764
"14",14,13,"HIDALGO",458983,23161,425421,10401,2250261,20.3968784065493
"15",15,14,"JALISCO",555899,62757,486279,6863,6134265,9.06219408519195
"16",16,15,"MÉXICO",1967340,186346,1750622,30372,12247064,16.0637684264571
"17",17,16,"MICHOACÁN",500226,31151,460331,8744,3532522,14.1605912150016
"18",18,17,"MORELOS",276179,15278,257605,3296,1474846,18.7259551166698
"19",19,18,"NAYARIT",179554,7572,169317,2665,887156,20.2392814792438
"20",20,19,"NUEVO LEÓN",447417,69264,373693,4460,4158880,10.758112761128
"21",21,20,"OAXACA",710701,24103,673278,13320,3006638,23.6377309140641
"22",22,21,"PUEBLA",925684,59962,840964,24758,4703681,19.6799910538151
"23",23,22,"QUERÉTARO",187611,17569,167288,2754,1747662,10.7349704920059
"24",24,23,"QUINTANA ROO",286852,11700,272302,2850,1336519,21.4626204341278
"25",25,24,"SAN LUIS POTOSÍ",342971,21677,312691,8603,2051989,16.7140759526489
"26",26,25,"SINALOA",429200,13885,410362,4953,2233920,19.2128634866065
"27",27,26,"SONORA",300127,12259,285060,2808,2156207,13.9192109106408
"28",28,27,"TABASCO",627590,9551,610385,7654,1746039,35.9436415795982
"29",29,28,"TAMAULIPAS",491196,24724,459874,6598,2740258,17.9251734690675
"30",30,29,"TLAXCALA",241933,13516,224656,3761,971329,24.9074206576762
"31",31,30,"VERACRUZ",1585723,72369,1476850,36504,5897441,26.8883232574942
"32",32,31,"YUCATÁN",357043,13636,337959,5448,1657653,21.5390675853149
"33",33,32,"ZACATECAS",170422,13945,152888,3589,1199609,14.2064622722904
